schedule,band,special
2015-10-16 20h00,Daniel Pitarella & Grpe. (VD)
2015-10-16 22h00,Simon Rennie & Team York (UK), English/Français
2015-10-16 23h00,Juan & Grpe. One Life Fribourg, Spanish/Français
2015-10-17 00h00,Justin & Grpe. EEBulle
2015-10-17 01h00,Gerson & Grpe. Paris
2015-10-17 02h00,Espace Ouvert / Musique Pré-enregistrée, prière journée
2015-10-17 08h00,Justin & Grpe. EEBulle 1, English/Français
2015-10-17 09h00,Simon Rennie & Team York (UK)
2015-10-17 10h00,Jonatan Bodenmann & Grpe. (VD)
2015-10-17 11h00,Aleiro Clavijo (Espagne), Spanish/Français
2015-10-17 12h00,Grpe. Eglise EA Sion (VS)
2015-10-17 13h30,Grpe. Eglise EA Le Locle (NE)
2015-10-17 15h00,Gerson & Grpe. Paris
2015-10-17 16h30,Simon Rennie & Team York (UK), English/Français
2015-10-17 18h00,Thomas & co.
2015-10-17 19h00,Aleiro Clavijo (Espagne), Espagnol/Français
2015-10-17 20h00,Mel-T & Grpe. (NE)
2015-10-17 22h00,Jonatan Bodenmann & Grpe. (VD), Linda Intercession
2015-10-17 23h00,Grpe. Eglise La Rochette (NE)
2015-10-18 00h00,Gerson Alveal & Grpe. Paris (F)
2015-10-18 01h00,Jonatan Bodenmann & Grpe. (VD)
2015-10-18 02h00,Espace Ouvert / Musique Pré-enregistrée, Prière journée
2015-10-18 08h00,Grpe. Eglise La Rochette (NE), Linda Intercession
2015-10-18 10h00,Gilbert Chellembron & Grpe. (Oron), Présentation Zoé
2015-10-18 12h00,Sainte-Croix Impact, Message Simon
2015-10-18 13h00,Albeiro Clavijo (Espagne), Spanish/French
2015-10-18 14h00,Gerson Alveal & Grpe. Paris (F)
2015-10-18 15h00,Jonatan Bodenmann & Grpe. (VD), Remerciement
